row,col,p,fdr
3529,26650,0,0
88,104,0,0
1756,4365,0,0
584,12863,0,0
833,30904,0,0
24,633,0,0
8525,9874,0,0
303,6014,0,0
8525,11453,0,0
85,916,0,0
958,1716,0,0
87,465,0,0
85,564,0,0
394,465,0,0
6668,14749,0,0
66,18317,0,0
288,465,0,0
6008,33175,0,0
1349,5130,0,0
85,197,0,0
30,159,0,0
234,447,0,0
19,154,0,0
9874,11453,0,0
199,365,0,0
288,447,0,0
145,8349,0,0
158,195,0,0
97,466,0,0
246,19038,0,0
158,564,0,0
104,154,0,0
22,160,0,0
1081,15489,0,0
555,681,0,0
2190,8263,0,0
7396,19038,0,0
30,243,0,0
100,104,0,0
245,15998,0,0
75,806,0,0
303,6904,0,0
6014,6692,0,0
98,4370,0,0
19,277,0,0
806,3548,0,0
584,758,0,0
394,12129,0,0
151,916,0,0
303,6692,0,0
14172,15489,0,0
94,584,0,0
195,916,0,0
151,564,0,0
5823,25779,0,0
16074,25779,0,0
4965,5654,0,0
18500,25779,0,0
85,198,0,0
893,8528,0,0
893,29308,0,0
4349,14749,0,0
24,158,0,0
1203,9413,0,0
22,161,0,0
8528,29308,0,0
24,195,0,0
104,974,0,0
6832,6904,0,0
5801,12253,0,0
152,365,0,0
1465,10798,0,0
2418,20244,0,0
12,229,0,0
197,974,0,0
1349,11466,0,0
5039,10071,0,0
958,4814,0,0
1723,16074,0,0
1723,5823,0,0
943,18524,0,0
407,2039,0,0
1723,18500,0,0
564,1260,0,0
5039,6166,0,0
5130,11466,0,0
12261,48910,0,0
2419,4814,0,0
1771,23304,0,0
227,4814,0,0
105,145,0,0
6014,14749,0,0
575,9535,0,0
1396,23304,0,0
105,758,0,0
287,447,0,0
5039,12698,0,0
4873,15640,0,0
1396,1771,0,0
1716,4814,0,0
87,394,0,0
407,5178,0,0
12,4071,0,0
13578,33175,0,0
589,1792,0,0
199,633,0,0
3078,4843,0,0
21252,27010,0,0
22,98,0,0
8086,11441,0,0
5332,9853,0,0
82,190,0,0
1770,7713,0,0
13,98,0,0
561,14749,0,0
6008,13578,0,0
990,18317,0,0
22,1449,0,0
2752,6692,0,0
30,109,0,0
1886,4755,0,0
12901,26996,0,0
245,5045,0,0
94,145,0,0
412,864,0,0
7342,9637,0,0
5045,15998,0,0
589,1406,0,0
155,465,0,0
23,198,0,0
4773,11332,0,0
365,29339,0,0
9956,11332,0,0
19,151,0,0
153,1260,0,0
4367,4555,0,0
447,1686,0,0
24,1260,0,0
5275,17528,0,0
5332,7713,0,0
1058,7424,0,0
4773,9956,0,0
240,465,0,0
1970,32569,0,0
1770,6166,0,0
8,6314,0,0
365,7591,0,0
155,365,0,0
85,153,0,0
365,1377,0,0
1770,10071,0,0
2279,8352,0,0
239,447,0,0
27,447,0,0
5430,5929,0,0
5332,6166,0,0
5450,11633,0,0
958,9795,0,0
6309,12901,0,0
1770,12698,0,0
13500,16667,0,0
104,874,0,0
2327,35808,0,0
9413,15509,0,0
